,filename,genre,path,rmse,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
0,blues.00056.au,blues,data/genres/blues/blues.00056.au,0.13772835,0.3910586,1811.0760835832946,2052.3325634591984,3927.8095824061534,0.07547951335139319,-145.43457,102.82902,-12.517674,56.99347,2.271349,26.591398,-4.2748013,17.338808,-7.985592,15.235424,-6.934599,7.4572163,-10.470443,-2.3604844,-6.7836227,2.6711338,-4.760879,-0.9490048,0.024832381,-2.005315
1,blues.00063.au,blues,data/genres/blues/blues.00063.au,0.09632621,0.33023754,2839.4531193329985,2444.1440114924962,5711.257131476152,0.15435583155959753,-129.08626,72.10388,-7.7492743,49.25197,-32.711506,21.597784,-27.363317,14.991898,-10.247072,12.424759,-17.030218,7.1063933,-18.009485,2.922716,-14.476795,4.054748,-14.530603,7.2533545,-8.201505,-2.0060356
2,blues.00072.au,blues,data/genres/blues/blues.00072.au,0.103913926,0.30692828,2595.5380060987645,2519.2961185904483,5660.407438957285,0.12924562814434984,-118.66524,87.60096,6.5634136,45.094284,-38.90345,20.815968,-26.85299,13.791711,-17.23416,5.104991,-15.705422,3.9784129,-27.542303,3.0504885,-15.946972,10.86856,-12.646966,2.8207479,-13.337094,-4.3755393
3,blues.00039.au,blues,data/genres/blues/blues.00039.au,0.08586793,0.2553208,1151.3404409523791,1709.1939375520126,2312.577682825803,0.03533878857875387,-301.68628,111.53921,21.895657,16.14559,8.19159,22.085964,-8.613637,1.491923,-17.074518,-8.337534,-17.011286,-10.572882,-15.687017,-12.598773,-12.245661,-14.543065,-10.092299,-5.7802854,-7.776048,-7.186642
4,blues.00030.au,blues,data/genres/blues/blues.00030.au,0.17008138,0.2630161,1379.0817422026958,2004.0008502510473,3015.831763677922,0.03937580120452786,-206.9876,117.78147,23.256245,28.294065,-1.099597,18.864937,-21.953709,17.855116,-25.583355,2.1285505,-17.789053,-8.015468,-17.616339,-8.138555,-8.646156,-15.538987,-15.331505,-9.664871,-10.10331,-17.8351
5,blues.00065.au,blues,data/genres/blues/blues.00065.au,0.10035958,0.2927299,2816.676938173266,2372.1646427132314,5614.4493835260255,0.14631846519446595,-118.3335,74.85385,-19.858368,46.94158,-32.549698,23.827168,-26.361835,17.685263,-13.8112545,11.941499,-17.876518,7.54486,-22.888935,4.759723,-12.79163,5.6088552,-14.725108,6.6844525,-9.159455,-2.2437758
6,blues.00084.au,blues,data/genres/blues/blues.00084.au,0.235238,0.39625832,2061.1507350613706,2085.1594475651855,4221.149475286619,0.11339689555921052,-38.96594,112.03983,-31.817036,38.240833,-6.3204136,23.331535,-18.778456,23.931795,-10.936108,13.2338505,-14.381296,13.327048,-10.921601,9.795614,-5.031277,7.2009816,-6.754969,2.6636121,-4.38043,0.41405466
7,blues.00052.au,blues,data/genres/blues/blues.00052.au,0.098909535,0.33907548,1443.2652853188026,1670.3699185470482,3069.356440021527,0.06719384916795666,-225.26973,117.6459,-14.5437565,64.80435,12.927466,19.029963,10.684547,9.884662,-2.3856878,11.688361,1.542959,3.050155,-7.6301556,-8.957814,-4.3525944,-0.062078234,-2.5542188,-3.437579,-3.8665748,1.3165148
8,blues.00068.au,blues,data/genres/blues/blues.00068.au,0.10311527,0.28993234,2513.716817329612,2345.23061418645,5247.443269428454,0.13514619715073528,-113.16776,88.709335,-8.925343,49.48749,-34.580006,15.865089,-17.744377,14.7141,-11.207616,15.366563,-15.081731,8.748788,-18.6309,5.474218,-9.26743,8.017965,-9.552074,5.8735943,-4.402835,3.615348
9,blues.00050.au,blues,data/genres/blues/blues.00050.au,0.18237986,0.4008597,1945.8484252463334,2082.2466258883846,4175.874749056695,0.08580598152089783,-82.97902,107.052124,-25.320452,57.12499,0.085439295,34.696804,-11.04202,20.532698,-11.213177,14.834125,-10.229334,12.539581,-9.762303,2.5622525,-6.3008533,2.996785,-8.718455,-0.32658133,-2.9803467,0.7126002
10,blues.00048.au,blues,data/genres/blues/blues.00048.au,0.12398607,0.3794277,2148.786199092123,2204.574064458511,4673.6634056634575,0.09881232766544118,-106.31103,102.63095,-20.155123,59.360367,-9.954543,33.689182,-14.170398,23.509998,-13.314066,16.014284,-18.91698,7.8213615,-7.7881207,4.0478344,-11.340939,2.0602176,-5.7394247,0.46425632,-1.9090883,-3.1283083
